,S2,alpha,B2,error
0,0.0,0.0,37.433502000000004,0.00879671609
1,0.01,0.390092709,37.45830529999999,0.008754059190000002
2,0.02,0.555707009,37.4378911,0.00876406348
3,0.03,0.685640358,37.4300287,0.00882402383
4,0.04,0.7976519940000001,37.408795899999994,0.00883355215
5,0.05,0.898586879,37.4106362,0.0087664289
6,0.06,0.991944316,37.3777546,0.0088223725
7,0.07,1.07980019,37.3837615,0.00878279622
8,0.08,1.16350796,37.3539946,0.00871424145
9,0.09,1.24401063,37.3535993,0.008704430840000001
10,0.1,1.32199874,37.30471420000001,0.00875296939
11,0.11,1.39799821,37.290361,0.00879778923
12,0.12,1.47242264,37.2705948,0.00874834326
13,0.13,1.54560632,37.234056200000005,0.00874078571
14,0.14,1.61782581,37.1937161,0.00874383921
15,0.15,1.68931478,37.1596205,0.00882983515
16,0.16,1.76027442,37.1079144,0.00875010698
17,0.17,1.83088095,37.0925546,0.00867949176
18,0.18,1.90129124,37.0342174,0.008761185
19,0.19,1.97164698,36.9776491,0.00860993033
20,0.2,2.04207798,36.9420977,0.008743496390000001
21,0.21,2.11270472,36.8982691,0.00878485689
22,0.22,2.18364042,36.827082,0.00869723178
23,0.23,2.25499266,36.7825039,0.00863303719
24,0.24,2.32686484,36.7347787,0.00874787772
25,0.25,2.39935728,36.661939200000006,0.008670784820000001
26,0.26,2.47256825,36.599869399999996,0.00865427652
27,0.27,2.54659484,36.548593200000006,0.008665954190000002
28,0.28,2.62153375,36.4606553,0.008727478609999999
29,0.29,2.69748197,36.4053442,0.008707667790000002
30,0.3,2.77453746,36.315831599999996,0.00872460273
31,0.31,2.85279972,36.267395799999996,0.00866276654
32,0.32,2.93237045,36.1651846,0.00862011755
33,0.33,3.01335404,36.1128888,0.00863440912
34,0.34,3.0958582,36.0228794,0.00858087191
35,0.35,3.17999452,35.941278999999994,0.008647218100000001
36,0.36,3.26587901,35.82433220000001,0.00867044863
37,0.37,3.35363278,35.743086,0.008642538620000001
38,0.38,3.4433826,35.6540206,0.00852467668
39,0.39,3.53526159,35.5532436,0.008533108900000001
40,0.4,3.62940994,35.470696999999994,0.008588753349999999
41,0.41,3.72597564,35.3587032,0.00861775773
42,0.42,3.82511532,35.272841,0.00851953941
43,0.43,3.92699511,35.1526846,0.00853451194
44,0.44,4.0317916,35.0544802,0.00853154075
45,0.45,4.13969293,34.949016,0.00857077568
46,0.46,4.25089989,34.812929499999996,0.00854595157
47,0.47,4.36562724,34.6975639,0.00840757154
48,0.48,4.48410512,34.5724848,0.00846663458
49,0.49,4.60658059,34.4649794,0.00841724477
50,0.5,4.7333194,34.3458446,0.00841570332
51,0.51,4.86460796,34.196271100000004,0.00836209352
52,0.52,5.00075552,34.074425500000004,0.00837079303
53,0.53,5.14209662,33.945555600000006,0.0083349479
54,0.54,5.28899391,33.7969001,0.008294825
55,0.55,5.44184129,33.6573511,0.008425080409999999
56,0.56,5.60106746,33.5228695,0.00831696749
57,0.57,5.76714005,33.365660399999996,0.0083694367
58,0.58,5.94057022,33.2146591,0.00826028568
59,0.59,6.12191803,33.0696454,0.00826481712
60,0.6,6.31179855,32.919277,0.00833989878
61,0.61,6.51088896,32.749069,0.00827321692
62,0.62,6.71993674,32.594263899999994,0.00824241449
63,0.63,6.93976917,32.425434,0.00818557828
64,0.64,7.17130447,32.2517311,0.00819810641
65,0.65,7.41556483,32.0801407,0.00812220582
66,0.66,7.67369169,31.9138272,0.00811371309
67,0.67,7.94696392,31.7213993,0.00805957218
68,0.68,8.23681924,31.5305287,0.0081632228
69,0.69,8.54487997,31.347038899999998,0.00811954932
70,0.7,8.8729838,31.133164299999997,0.007978657870000001
71,0.71,9.22322096,30.947462599999998,0.00799607316
72,0.72,9.59797943,30.751077600000002,0.00798836432
73,0.73,10.0000001,30.5264225,0.0079741006
74,0.74,10.4324445,30.309871700000002,0.00795545231
75,0.75,10.8989795,30.097720799999998,0.00792734909
76,0.76,11.403882000000001,29.864862,0.00792660438
77,0.77,11.9521722,29.6324244,0.00782741235
78,0.78,12.549781900000001,29.387029,0.00783461813
79,0.79,13.203772400000002,29.1470011,0.00785290512
80,0.8,13.9226163,28.889263399999997,0.00783078318
81,0.81,14.716569199999999,28.628307399999997,0.0077563826
82,0.82,15.5981649,28.360782699999998,0.00774515368
83,0.83,16.5828859,28.092959999999998,0.007663222579999999
84,0.84,17.6900842,27.7910201,0.007593367740000001
85,0.85,18.944271899999997,27.492034999999998,0.00757651517
86,0.86,20.376963800000002,27.176543300000002,0.00755825546
87,0.87,22.0293705,26.8451755,0.00750928762
88,0.88,23.9564392,26.4992882,0.00744209672
89,0.89,26.2330968,26.1531612,0.00743884365
90,0.9,28.964240000000004,25.7803322,0.007341218259999999
91,0.91,32.3013859,25.3699387,0.00736318882
92,0.92,36.4718086,24.9372497,0.00722212868
93,0.93,41.8326527,24.502938500000003,0.007110377320000001
94,0.94,48.9791576,24.0087154,0.007094889300000001
95,0.95,58.9827535,23.4889956,0.00704393037
96,0.96,73.9862988,22.899006699999997,0.00689603427
97,0.97,98.9897949,22.2122585,0.00680867621
98,0.98,148.993243,21.399593,0.00671939623
99,0.99,298.996644,20.3583845,0.0066050323999999995
100,1.0,100000000000000.0,17.8005146,0.006070290999999999
