       S2         alpha         B2     error
0    0.00  0.000000e+00  37.433502  0.008797
1    0.01  3.900927e-01  37.458305  0.008754
2    0.02  5.557070e-01  37.437891  0.008764
3    0.03  6.856404e-01  37.430029  0.008824
4    0.04  7.976520e-01  37.408796  0.008834
5    0.05  8.985869e-01  37.410636  0.008766
6    0.06  9.919443e-01  37.377755  0.008822
7    0.07  1.079800e+00  37.383761  0.008783
8    0.08  1.163508e+00  37.353995  0.008714
9    0.09  1.244011e+00  37.353599  0.008704
10   0.10  1.321999e+00  37.304714  0.008753
11   0.11  1.397998e+00  37.290361  0.008798
12   0.12  1.472423e+00  37.270595  0.008748
13   0.13  1.545606e+00  37.234056  0.008741
14   0.14  1.617826e+00  37.193716  0.008744
15   0.15  1.689315e+00  37.159621  0.008830
16   0.16  1.760274e+00  37.107914  0.008750
17   0.17  1.830881e+00  37.092555  0.008679
18   0.18  1.901291e+00  37.034217  0.008761
19   0.19  1.971647e+00  36.977649  0.008610
20   0.20  2.042078e+00  36.942098  0.008743
21   0.21  2.112705e+00  36.898269  0.008785
22   0.22  2.183640e+00  36.827082  0.008697
23   0.23  2.254993e+00  36.782504  0.008633
24   0.24  2.326865e+00  36.734779  0.008748
25   0.25  2.399357e+00  36.661939  0.008671
26   0.26  2.472568e+00  36.599869  0.008654
27   0.27  2.546595e+00  36.548593  0.008666
28   0.28  2.621534e+00  36.460655  0.008727
29   0.29  2.697482e+00  36.405344  0.008708
30   0.30  2.774537e+00  36.315832  0.008725
31   0.31  2.852800e+00  36.267396  0.008663
32   0.32  2.932370e+00  36.165185  0.008620
33   0.33  3.013354e+00  36.112889  0.008634
34   0.34  3.095858e+00  36.022879  0.008581
35   0.35  3.179995e+00  35.941279  0.008647
36   0.36  3.265879e+00  35.824332  0.008670
37   0.37  3.353633e+00  35.743086  0.008643
38   0.38  3.443383e+00  35.654021  0.008525
39   0.39  3.535262e+00  35.553244  0.008533
40   0.40  3.629410e+00  35.470697  0.008589
41   0.41  3.725976e+00  35.358703  0.008618
42   0.42  3.825115e+00  35.272841  0.008520
43   0.43  3.926995e+00  35.152685  0.008535
44   0.44  4.031792e+00  35.054480  0.008532
45   0.45  4.139693e+00  34.949016  0.008571
46   0.46  4.250900e+00  34.812929  0.008546
47   0.47  4.365627e+00  34.697564  0.008408
48   0.48  4.484105e+00  34.572485  0.008467
49   0.49  4.606581e+00  34.464979  0.008417
50   0.50  4.733319e+00  34.345845  0.008416
51   0.51  4.864608e+00  34.196271  0.008362
52   0.52  5.000756e+00  34.074426  0.008371
53   0.53  5.142097e+00  33.945556  0.008335
54   0.54  5.288994e+00  33.796900  0.008295
55   0.55  5.441841e+00  33.657351  0.008425
56   0.56  5.601067e+00  33.522869  0.008317
57   0.57  5.767140e+00  33.365660  0.008369
58   0.58  5.940570e+00  33.214659  0.008260
59   0.59  6.121918e+00  33.069645  0.008265
60   0.60  6.311799e+00  32.919277  0.008340
61   0.61  6.510889e+00  32.749069  0.008273
62   0.62  6.719937e+00  32.594264  0.008242
63   0.63  6.939769e+00  32.425434  0.008186
64   0.64  7.171304e+00  32.251731  0.008198
65   0.65  7.415565e+00  32.080141  0.008122
66   0.66  7.673692e+00  31.913827  0.008114
67   0.67  7.946964e+00  31.721399  0.008060
68   0.68  8.236819e+00  31.530529  0.008163
69   0.69  8.544880e+00  31.347039  0.008120
70   0.70  8.872984e+00  31.133164  0.007979
71   0.71  9.223221e+00  30.947463  0.007996
72   0.72  9.597979e+00  30.751078  0.007988
73   0.73  1.000000e+01  30.526422  0.007974
74   0.74  1.043244e+01  30.309872  0.007955
75   0.75  1.089898e+01  30.097721  0.007927
76   0.76  1.140388e+01  29.864862  0.007927
77   0.77  1.195217e+01  29.632424  0.007827
78   0.78  1.254978e+01  29.387029  0.007835
79   0.79  1.320377e+01  29.147001  0.007853
80   0.80  1.392262e+01  28.889263  0.007831
81   0.81  1.471657e+01  28.628307  0.007756
82   0.82  1.559816e+01  28.360783  0.007745
83   0.83  1.658289e+01  28.092960  0.007663
84   0.84  1.769008e+01  27.791020  0.007593
85   0.85  1.894427e+01  27.492035  0.007577
86   0.86  2.037696e+01  27.176543  0.007558
87   0.87  2.202937e+01  26.845175  0.007509
88   0.88  2.395644e+01  26.499288  0.007442
89   0.89  2.623310e+01  26.153161  0.007439
90   0.90  2.896424e+01  25.780332  0.007341
91   0.91  3.230139e+01  25.369939  0.007363
92   0.92  3.647181e+01  24.937250  0.007222
93   0.93  4.183265e+01  24.502939  0.007110
94   0.94  4.897916e+01  24.008715  0.007095
95   0.95  5.898275e+01  23.488996  0.007044
96   0.96  7.398630e+01  22.899007  0.006896
97   0.97  9.898979e+01  22.212259  0.006809
98   0.98  1.489932e+02  21.399593  0.006719
99   0.99  2.989966e+02  20.358384  0.006605
100  1.00  1.000000e+14  17.800515  0.006070
