       S2         alpha          B3     error       B3*    error*
0    0.00  0.000000e+00  587.776607  0.174439  0.419461  0.000124
1    0.01  3.900927e-01  588.413150  0.175374  0.419359  0.000125
2    0.02  5.557070e-01  588.013645  0.172924  0.419532  0.000123
3    0.03  6.856404e-01  587.770726  0.175934  0.419534  0.000126
4    0.04  7.976520e-01  587.427093  0.173932  0.419765  0.000124
5    0.05  8.985869e-01  587.453839  0.173112  0.419743  0.000124
6    0.06  9.919443e-01  586.647916  0.172738  0.419905  0.000124
7    0.07  1.079800e+00  587.263355  0.173707  0.420211  0.000124
8    0.08  1.163508e+00  586.611144  0.175694  0.420413  0.000126
9    0.09  1.244011e+00  586.844300  0.174207  0.420589  0.000125
10   0.10  1.321999e+00  585.788529  0.174183  0.420933  0.000125
11   0.11  1.397998e+00  585.533563  0.171101  0.421074  0.000123
12   0.12  1.472423e+00  585.280970  0.173237  0.421339  0.000125
13   0.13  1.545606e+00  584.486210  0.173961  0.421593  0.000125
14   0.14  1.617826e+00  584.037595  0.175291  0.422184  0.000127
15   0.15  1.689315e+00  583.629667  0.170942  0.422664  0.000124
16   0.16  1.760274e+00  582.713829  0.171622  0.423177  0.000125
17   0.17  1.830881e+00  582.597255  0.172560  0.423443  0.000125
18   0.18  1.901291e+00  581.502963  0.171519  0.423980  0.000125
19   0.19  1.971647e+00  580.395504  0.169846  0.424468  0.000124
20   0.20  2.042078e+00  579.851021  0.168902  0.424887  0.000124
21   0.21  2.112705e+00  579.412505  0.168050  0.425575  0.000123
22   0.22  2.183640e+00  577.288403  0.167354  0.425655  0.000123
23   0.23  2.254993e+00  577.164453  0.169049  0.426596  0.000125
24   0.24  2.326865e+00  576.318083  0.170384  0.427078  0.000126
25   0.25  2.399357e+00  574.899942  0.169118  0.427722  0.000126
26   0.26  2.472568e+00  573.400317  0.165878  0.428054  0.000124
27   0.27  2.546595e+00  572.970642  0.167091  0.428935  0.000125
28   0.28  2.621534e+00  570.977379  0.166741  0.429507  0.000125
29   0.29  2.697482e+00  570.234237  0.165784  0.430252  0.000125
30   0.30  2.774537e+00  568.100050  0.166440  0.430757  0.000126
31   0.31  2.852800e+00  567.870547  0.165432  0.431734  0.000126
32   0.32  2.932370e+00  565.492750  0.162531  0.432360  0.000124
