       S2         alpha           B4     error       B4*    error*
0    0.00  0.000000e+00  2766.922043  7.139409  0.052749  0.000136
1    0.01  3.900927e-01  2776.619927  7.195160  0.052829  0.000137
2    0.02  5.557070e-01  2776.093775  7.171614  0.052905  0.000137
3    0.03  6.856404e-01  2773.604656  7.197898  0.052891  0.000137
4    0.04  7.976520e-01  2779.535315  7.070626  0.053095  0.000135
5    0.05  8.985869e-01  2778.684760  7.226163  0.053071  0.000138
6    0.06  9.919443e-01  2775.784258  7.031411  0.053155  0.000135
7    0.07  1.079800e+00  2782.938715  7.134763  0.053267  0.000137
8    0.08  1.163508e+00  2781.074680  7.130417  0.053358  0.000137
9    0.09  1.244011e+00  2799.403213  7.206414  0.053712  0.000138
10   0.10  1.321999e+00  2795.705208  7.036404  0.053852  0.000136
11   0.11  1.397998e+00  2822.468183  7.051136  0.054430  0.000136
12   0.12  1.472423e+00  2818.618079  7.136584  0.054442  0.000138
13   0.13  1.545606e+00  2830.823511  7.120036  0.054839  0.000138
14   0.14  1.617826e+00  2823.503391  7.046062  0.054876  0.000137
15   0.15  1.689315e+00  2838.726910  6.998313  0.055324  0.000136
16   0.16  1.760274e+00  2832.710411  6.954475  0.055437  0.000136
17   0.17  1.830881e+00  2843.438930  7.084272  0.055716  0.000139
18   0.18  1.901291e+00  2870.508252  6.985819  0.056513  0.000138
19   0.19  1.971647e+00  2864.740335  6.858197  0.056659  0.000136
20   0.20  2.042078e+00  2886.494901  6.955310  0.057254  0.000138
21   0.21  2.112705e+00  2895.753189  6.850815  0.057643  0.000136
22   0.22  2.183640e+00  2905.500795  6.933829  0.058173  0.000139
23   0.23  2.254993e+00  2903.756959  6.909348  0.058349  0.000139
24   0.24  2.326865e+00  2915.805059  6.917632  0.058820  0.000140
25   0.25  2.399357e+00  2928.352690  6.779249  0.059426  0.000138
26   0.26  2.472568e+00  2958.468464  6.748128  0.060343  0.000138
27   0.27  2.546595e+00  2947.022059  6.876628  0.060363  0.000141
28   0.28  2.621534e+00  2956.909188  6.729699  0.061005  0.000139
29   0.29  2.697482e+00  2970.457771  6.656447  0.061564  0.000138
30   0.30  2.774537e+00  2982.806964  6.609081  0.062278  0.000138
31   0.31  2.852800e+00  2994.695827  6.669447  0.062777  0.000140
