,S2,alpha,B5,error,B5*,error*
0,0.0,0.0,21763.26139756061,341.813706854689,0.0110836332,0.00017407950400000002
1,0.01,0.390092709,22055.906755521548,336.1499846258157,0.011202950500000001,0.000170742091
2,0.02,0.555707009,21892.85678130112,341.4793044122691,0.0111444061,0.00017382765899999998
3,0.03,0.685640358,22224.621683617388,340.6226035072665,0.0113227974,0.00017353729500000002
4,0.04,0.7976519940000001,21583.18720332883,331.52765232831507,0.0110209913,0.00016928748
5,0.05,0.898586879,21300.199067923928,339.24529033377036,0.0108743495,0.000173194243
6,0.06,0.991944316,22140.814807501218,337.1265361331774,0.0113433352,0.000172718996
7,0.07,1.07980019,21877.058398583235,337.00286687941207,0.0112010036,0.000172544693
8,0.08,1.16350796,21226.67069499331,339.8651494405502,0.0109026903,0.000174565504
9,0.09,1.24401063,21581.283691089757,334.95872514660755,0.0110853,0.00017205269199999998
10,0.1,1.32199874,21454.008448691267,335.46939286484786,0.0110778015,0.00017322
11,0.11,1.39799821,21215.213673234866,340.31680946116586,0.010971375,0.000175993671
12,0.12,1.47242264,20379.97338218135,332.7366303352491,0.0105618092,0.00017243893
13,0.13,1.54560632,21252.335677150586,330.26886846619846,0.0110572026,0.00017183286800000002
14,0.14,1.61782581,20762.094466102164,331.3490241588686,0.010849079099999999,0.000173143985
15,0.15,1.68931478,20588.904808733965,328.0646417953395,0.0107981204,0.00017205779200000002
16,0.16,1.76027442,20808.49117545134,324.1074544689259,0.0109742388,0.000170931788
17,0.17,1.83088095,20683.11286340962,330.1492273624801,0.010926194399999999,0.000174406757
18,0.18,1.90129124,19747.999076854507,326.1668064746014,0.0104980929,0.000173391209
19,0.19,1.97164698,20712.83909400307,321.1530308515274,0.0110785378,0.000171772975
20,0.2,2.04207798,19881.00715905814,324.520033895808,0.0106746138,0.000174242985
21,0.21,2.11270472,19915.26355573514,317.963034960619,0.0107439031,0.000171534965
22,0.22,2.18364042,19718.59778215481,315.40421572191156,0.010720296399999999,0.000171473992
23,0.23,2.25499266,19548.65709903375,313.9107091087849,0.010679520900000001,0.00017149085800000001
24,0.24,2.32686484,20061.644256872572,318.90667223752473,0.011016834199999999,0.000175127317
25,0.25,2.39935728,18953.606551022436,309.602060152338,0.0104913199,0.000171372886
26,0.26,2.47256825,18844.279855332494,308.00497957718744,0.010501743400000001,0.000171648335
27,0.27,2.54659484,18927.452787981212,309.03410651758134,0.010607413799999998,0.00017319037499999998
28,0.28,2.62153375,18225.910570012802,307.72172155503347,0.0103131505,0.000174124657
29,0.29,2.69748197,18547.441321739596,301.30977718246766,0.0105590158,0.000171534965
30,0.3,2.77453746,18447.414882038996,299.40358979702455,0.010605998,0.000172136524
31,0.31,2.85279972,18028.897343173627,299.78005934943155,0.0104208628,0.000173275537
32,0.32,2.93237045,18225.157908204405,296.48578464016805,0.010653898500000002,0.000173316987
33,0.33,3.01335404,17549.196853792906,296.47797110370726,0.0103183041,0.000174318511
34,0.34,3.0958582,17633.698582263434,292.01990152156833,0.010472002,0.00017341982899999998
35,0.35,3.17999452,17344.241461854417,284.87055824619824,0.0103939638,0.000170715697
36,0.36,3.26587901,17374.977617059238,279.45442950508647,0.0105490133,0.00016966747
37,0.37,3.35363278,17611.96286516087,284.16766152088917,0.0107904505,0.000174103086
38,0.38,3.4433826,16677.729613303865,277.19410235884374,0.010320550999999999,0.000171533892
39,0.39,3.53526159,17309.063487134325,280.50673146026793,0.0108331974,0.000175560324
40,0.4,3.62940994,16641.176819672793,280.940024098476,0.0105124791,0.000177473995
