       S2         alpha            B5       error       B5*    error*
0    0.00  0.000000e+00  21763.261398  341.813707  0.011084  0.000174
1    0.01  3.900927e-01  22055.906756  336.149985  0.011203  0.000171
2    0.02  5.557070e-01  21892.856781  341.479304  0.011144  0.000174
3    0.03  6.856404e-01  22224.621684  340.622604  0.011323  0.000174
4    0.04  7.976520e-01  21583.187203  331.527652  0.011021  0.000169
5    0.05  8.985869e-01  21300.199068  339.245290  0.010874  0.000173
6    0.06  9.919443e-01  22140.814808  337.126536  0.011343  0.000173
7    0.07  1.079800e+00  21877.058399  337.002867  0.011201  0.000173
8    0.08  1.163508e+00  21226.670695  339.865149  0.010903  0.000175
9    0.09  1.244011e+00  21581.283691  334.958725  0.011085  0.000172
10   0.10  1.321999e+00  21454.008449  335.469393  0.011078  0.000173
11   0.11  1.397998e+00  21215.213673  340.316809  0.010971  0.000176
12   0.12  1.472423e+00  20379.973382  332.736630  0.010562  0.000172
13   0.13  1.545606e+00  21252.335677  330.268868  0.011057  0.000172
14   0.14  1.617826e+00  20762.094466  331.349024  0.010849  0.000173
15   0.15  1.689315e+00  20588.904809  328.064642  0.010798  0.000172
16   0.16  1.760274e+00  20808.491175  324.107454  0.010974  0.000171
17   0.17  1.830881e+00  20683.112863  330.149227  0.010926  0.000174
18   0.18  1.901291e+00  19747.999077  326.166806  0.010498  0.000173
19   0.19  1.971647e+00  20712.839094  321.153031  0.011079  0.000172
20   0.20  2.042078e+00  19881.007159  324.520034  0.010675  0.000174
21   0.21  2.112705e+00  19915.263556  317.963035  0.010744  0.000172
22   0.22  2.183640e+00  19718.597782  315.404216  0.010720  0.000171
23   0.23  2.254993e+00  19548.657099  313.910709  0.010680  0.000171
24   0.24  2.326865e+00  20061.644257  318.906672  0.011017  0.000175
25   0.25  2.399357e+00  18953.606551  309.602060  0.010491  0.000171
26   0.26  2.472568e+00  18844.279855  308.004980  0.010502  0.000172
27   0.27  2.546595e+00  18927.452788  309.034107  0.010607  0.000173
28   0.28  2.621534e+00  18225.910570  307.721722  0.010313  0.000174
29   0.29  2.697482e+00  18547.441322  301.309777  0.010559  0.000172
30   0.30  2.774537e+00  18447.414882  299.403590  0.010606  0.000172
31   0.31  2.852800e+00  18028.897343  299.780059  0.010421  0.000173
32   0.32  2.932370e+00  18225.157908  296.485785  0.010654  0.000173
33   0.33  3.013354e+00  17549.196854  296.477971  0.010318  0.000174
34   0.34  3.095858e+00  17633.698582  292.019902  0.010472  0.000173
35   0.35  3.179995e+00  17344.241462  284.870558  0.010394  0.000171
36   0.36  3.265879e+00  17374.977617  279.454430  0.010549  0.000170
37   0.37  3.353633e+00  17611.962865  284.167662  0.010790  0.000174
38   0.38  3.443383e+00  16677.729613  277.194102  0.010321  0.000172
39   0.39  3.535262e+00  17309.063487  280.506731  0.010833  0.000176
40   0.40  3.629410e+00  16641.176820  280.940024  0.010512  0.000177
41   0.41  3.725976e+00  16331.626674  273.727010  0.010448  0.000175
42   0.42  3.825115e+00  15934.686285  270.224506  0.010294  0.000175
43   0.43  3.926995e+00  16374.916713  265.509967  0.010724  0.000174
44   0.44  4.031792e+00  15842.095173  262.886907  0.010492  0.000174
