      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    0.810377  0.041211  -7.869999  -7.874124   0.001038   0.001038   -6.831947   -6.836126
1    0.001498    0.811257  0.041295  -7.446845  -7.450996   0.001584   0.001584   -6.389399   -6.393632
2    0.001996    0.812144  0.041380  -7.140659  -7.144838   0.002150   0.002150   -6.063521   -6.067809
3    0.002494    0.813037  0.041466  -6.898596  -6.902802   0.002736   0.002736   -5.801465   -5.805810
4    0.002992    0.813936  0.041553  -6.697072  -6.701306   0.003343   0.003343   -5.579646   -5.584047
5    0.003490    0.814841  0.041640  -6.523492  -6.527754   0.003972   0.003971   -5.385467   -5.389926
6    0.003988    0.815752  0.041727  -6.370333  -6.374623   0.004622   0.004621   -5.211401   -5.215918
7    0.004486    0.816669  0.041815  -6.232739  -6.237058   0.005294   0.005293   -5.052591   -5.057167
8    0.004984    0.817592  0.041904  -6.107393  -6.111740   0.005989   0.005988   -4.905717   -4.910353
9    0.005482    0.818520  0.041994  -5.991927  -5.996304   0.006707   0.006706   -4.768410   -4.773107
10   0.005980    0.819455  0.042084  -5.884595  -5.889000   0.007449   0.007447   -4.638919   -4.643677
11   0.006478    0.820395  0.042175  -5.784067  -5.788502   0.008215   0.008213   -4.515914   -4.520735
12   0.006976    0.821340  0.042266  -5.689311  -5.693776   0.009006   0.009003   -4.398359   -4.403243
13   0.007474    0.822291  0.042358  -5.599507  -5.604002   0.009821   0.009818   -4.285434   -4.290382
14   0.007972    0.823248  0.042451  -5.513997  -5.518522   0.010663   0.010659   -4.176475   -4.181487
15   0.008470    0.824210  0.042544  -5.432238  -5.436794   0.011530   0.011526   -4.070939   -4.076017
16   0.008968    0.825177  0.042638  -5.353783  -5.358370   0.012424   0.012419   -3.968376   -3.973520
17   0.009466    0.826150  0.042733  -5.278258  -5.282875   0.013346   0.013340   -3.868408   -3.873619
